Frame,Time,Speed,Gear,RPM,Tyre_FL,Tyre_FR,Tyre_RL,Tyre_RR
43784,689.16,63,4,3981,21.8428,21.8428,24.8167,24.8167
43785,689.181,63,4,3981,21.8428,21.8428,24.8167,24.8167
43786,689.201,63,4,3983,21.8428,21.8428,24.8167,24.8167
43787,689.22,63,4,3985,21.8428,21.8428,24.8167,24.8167
43788,689.239,63,4,3987,21.8428,21.8428,24.8167,24.8167
43789,689.257,63,4,3990,21.8428,21.8428,24.8167,24.8167
43790,689.275,63,4,3993,21.8428,21.8428,24.8167,24.8167
43791,689.284,63,4,3993,21.8428,21.8428,24.8167,24.8167
43792,689.302,63,4,3999,21.8428,21.8428,24.8167,24.8167
43793,689.32,63,4,4002,21.8428,21.8428,24.8167,24.8167
43794,689.339,63,4,4005,21.8428,21.8428,24.8167,24.8167
43795,689.356,63,4,4008,21.8428,21.8428,24.8167,24.8167
43796,689.374,63,4,4011,21.8428,21.8428,24.8167,24.8167
43797,689.392,62,4,4013,21.8428,21.8428,24.8167,24.8167
43798,689.401,62,4,4015,21.8428,21.8428,24.8167,24.8167
43799,689.42,62,4,4017,21.8428,21.8428,24.8167,24.8167
43800,689.438,62,4,4018,21.8428,21.8428,24.8167,24.8167
43801,689.456,62,4,4019,21.8428,21.8428,24.8167,24.8167
43802,689.474,62,4,4019,21.8428,21.8428,24.8167,24.8167
43803,689.492,62,4,4018,21.8428,21.8428,24.8167,24.8167
43804,689.501,62,4,4017,21.8428,21.8428,24.8167,24.8167
43805,689.519,62,4,4016,21.8428,21.8428,24.8167,24.8167
43806,689.538,62,4,4014,21.8428,21.8428,24.8167,24.8167
43807,689.556,62,4,4011,21.8428,21.8428,24.8167,24.8167
43808,689.573,62,4,4009,21.8428,21.8428,24.8167,24.8167
43809,689.591,62,4,4006,21.8428,21.8428,24.8167,24.8167
43810,689.609,62,4,4003,21.8428,21.8428,24.8167,24.8167
43811,689.618,62,4,4000,21.8428,21.8428,24.8167,24.8167
43812,689.637,62,4,3996,21.8428,21.8428,24.8167,24.8167
43813,689.656,62,4,3993,21.8428,21.8428,24.8167,24.8167
43814,689.676,62,4,3990,21.8428,21.8428,24.8167,24.8167
43815,689.685,62,4,3988,21.8428,21.8428,24.8167,24.8167
43816,689.703,62,4,3985,21.8428,21.8428,24.8167,24.8167
43817,689.722,62,4,3984,21.8428,21.8428,24.8167,24.8167
43818,689.74,62,4,3982,21.8428,21.8428,24.8167,24.8167
43819,689.749,62,4,3982,21.8428,21.8428,24.8167,24.8167
43820,689.768,62,4,3981,21.8428,21.8428,24.8167,24.8167
43821,689.786,62,4,3981,21.8428,21.8428,24.8167,24.8167
43822,689.804,62,4,3981,21.8428,21.8428,24.8167,24.8167
43823,689.821,62,4,3982,21.8428,21.8428,24.8167,24.8167
43824,689.839,61,4,3984,21.8428,21.8428,24.8167,24.8167
43825,689.857,61,4,3986,21.8428,21.8428,24.8167,24.8167
43826,689.875,61,4,3988,21.8428,21.8428,24.8167,24.8167
43827,689.892,61,4,3991,21.8428,21.8428,24.8167,24.8167
43828,689.909,61,4,3994,21.8428,21.8428,24.8167,24.8167
43829,689.918,61,4,3997,21.8428,21.8428,24.8167,24.8167
43830,689.936,61,4,4000,21.8428,21.8428,24.8167,24.8167
43831,689.953,61,4,4003,21.8428,21.8428,24.8167,24.8167
43832,689.971,61,4,4006,21.8428,21.8428,24.8167,24.8167
43833,689.989,61,4,4009,21.8428,21.8428,24.8167,24.8167
43834,690.006,61,4,4012,21.8428,21.8428,24.8167,24.8167
43835,690.024,61,4,4014,21.8428,21.8428,24.8167,24.8167
43836,690.042,61,4,4016,21.8428,21.8428,24.8167,24.8167
43837,690.06,61,4,4017,21.8428,21.8428,24.8167,24.8167
43838,690.069,61,4,4018,21.8428,21.8428,24.8167,24.8167
43839,690.086,61,4,4019,21.8428,21.8428,24.8167,24.8167
43840,690.104,61,4,4019,21.8428,21.8428,24.8167,24.8167
43841,690.122,61,4,4018,21.8428,21.8428,24.8167,24.8167
43842,690.14,61,4,4017,21.8428,21.8428,24.8167,24.8167
43843,690.158,61,4,4015,21.8428,21.8428,24.8167,24.8167
43844,690.176,61,4,4013,21.8428,21.8428,24.8167,24.8167
43845,690.193,60,4,4011,21.8428,21.8428,24.8167,24.8167
43846,690.202,60,4,4008,21.8428,21.8428,24.8167,24.8167
43847,690.219,60,4,4005,21.8428,21.8428,24.8167,24.8167
43848,690.236,60,4,4002,21.8428,21.8428,24.8167,24.8167
43849,690.253,60,4,3999,21.8428,21.8428,24.8167,24.8167
43850,690.27,60,4,3996,21.8428,21.8428,24.8167,24.8167
43851,690.287,60,4,3992,21.8428,21.8428,24.8167,24.8167
43852,690.304,60,4,3990,21.8428,21.8428,24.8167,24.8167
43853,690.321,60,4,3987,21.8428,21.8428,24.8167,24.8167
43854,690.338,60,4,3985,21.8428,21.8428,24.8167,24.8167
43855,690.355,60,4,3983,21.8428,21.8428,24.8167,24.8167
43856,690.372,60,4,3982,21.8428,21.8428,24.8167,24.8167
43857,690.389,59,4,3981,21.8428,21.8428,24.8167,24.8167
43858,690.406,59,4,3980,21.8428,21.8428,24.8167,24.8167
43859,690.424,59,4,3981,21.8428,21.8428,24.8167,24.8167
43860,690.442,59,4,3981,21.8428,21.8428,24.8167,24.8167
43861,690.46,59,4,3983,21.8428,21.8428,24.8167,24.8167
43862,690.469,59,4,3984,21.8428,21.8428,24.8167,24.8167
43863,690.486,59,4,3986,21.8428,21.8428,24.8167,24.8167
43864,690.503,59,4,3989,21.8428,21.8428,24.8167,24.8167
43865,690.521,59,4,3992,21.8428,21.8428,24.8167,24.8167
43866,690.538,59,4,3995,21.8428,21.8428,24.8167,24.8167
43867,690.555,59,4,3998,21.8428,21.8428,24.8167,24.8167
43868,690.573,59,4,4001,21.8428,21.8428,24.8167,24.8167
43869,690.59,59,4,4004,21.8428,21.8428,24.8167,24.8167
43870,690.608,59,4,4007,21.8428,21.8428,24.8167,24.8167
43871,690.626,59,4,4010,21.8428,21.8428,24.8167,24.8167
43872,690.643,59,4,4012,21.8428,21.8428,24.8167,24.8167
43873,690.652,58,4,4015,21.8428,21.8428,24.8167,24.8167
43874,690.669,58,4,4016,21.8428,21.8428,24.8167,24.8167
43875,690.687,58,4,4018,21.8428,21.8428,24.8167,24.8167
43876,690.704,58,4,4018,21.8428,21.8428,24.8167,24.8167
43877,690.72,58,4,4019,21.8428,21.8428,24.8167,24.8167
43878,690.737,58,4,4018,21.8428,21.8428,24.8167,24.8167
43879,690.755,58,4,4018,21.8428,21.8428,24.8167,24.8167
43880,690.771,58,4,4016,21.8428,21.8428,24.8167,24.8167
43881,690.788,57,4,4015,21.8428,21.8428,24.8167,24.8167
43882,690.804,57,4,4012,21.8428,21.8428,24.8167,24.8167
43883,690.822,57,4,4010,21.8428,21.8428,24.8167,24.8167
43884,690.841,57,4,4007,21.8428,21.8428,24.8167,24.8167
43885,690.859,57,4,4004,21.8428,21.8428,24.8167,24.8167
43886,690.878,57,4,4001,21.8428,21.8428,24.8167,24.8167
43887,690.894,57,4,3998,21.8428,21.8428,24.8167,24.8167
43888,690.91,56,4,3995,21.8428,21.8428,24.8167,24.8167
43889,690.927,56,4,3992,21.8428,21.8428,24.8167,24.8167
43890,690.943,56,4,3989,21.8428,21.8428,24.8167,24.8167
43891,690.959,56,4,3986,21.8428,21.8428,24.8167,24.8167
43892,690.975,55,4,3984,21.8428,21.8428,24.8167,24.8167
43893,690.992,55,4,3983,21.8428,21.8428,24.8167,24.8167
43894,691.009,55,4,3981,21.8428,21.8428,24.8167,24.8167
43895,691.025,55,4,3981,21.8428,21.8428,24.8167,24.8167
43896,691.042,55,4,3980,21.8428,21.8428,24.8167,24.8167
43897,691.059,55,4,3981,21.8428,21.8428,24.8167,24.8167
43898,691.075,55,4,3982,21.8428,21.8428,24.8167,24.8167
43899,691.092,54,4,3983,21.8428,21.8428,24.8167,24.8167
43900,691.11,54,4,3985,21.8428,21.8428,24.8167,24.8167
43901,691.127,54,4,3987,21.8428,21.8428,24.8167,24.8167
43902,691.145,54,4,3990,21.8428,21.8428,24.8167,24.8167
43903,691.154,54,4,3993,21.8428,21.8428,24.8167,24.8167
43904,691.172,54,4,3996,21.8428,21.8428,24.8167,24.8167
43905,691.189,54,4,3999,21.8428,21.8428,24.8167,24.8167
43906,691.206,54,4,4002,21.8428,21.8428,24.8167,24.8167
43907,691.223,54,4,4005,21.8428,21.8428,24.8167,24.8167
43908,691.24,54,4,4008,21.8428,21.8428,24.8167,24.8167
